date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:05:53	126754/126754	---M-Z	200	added ('OK')	application/javascript	etag:W/%227d51a6e51a9de32245d9ddc1cde2b54a%22	https://static.parastorage.com/services/editor-elements/dist/thunderboltElements.5821a6da.bundle.min.js	C:/Users/VIBHU/Desktop/ICT%20Cafe/wix/static.parastorage.com/services/editor-elements/dist/thunderboltElements.5821a6da.bundle.min.js	(from https://vibhor9351.wixsite.com/website)
21:05:54	33535/33535	---M-Z	200	added ('OK')	application/javascript	etag:W/%228237b21ec59fd4b77fdc56cac49f2515%22	https://static.parastorage.com/services/wix-perf-measure/1.512.0/wix-perf-measure.bundle.min.js	C:/Users/VIBHU/Desktop/ICT%20Cafe/wix/static.parastorage.com/services/wix-perf-measure/1.512.0/wix-perf-measure.bundle.min.js	(from https://vibhor9351.wixsite.com/website)
21:05:54	40949/40949	---M--	200	added ('OK')	image/png	etag:%22d6793e194624ea8a9de511b9e7c63bf0%22	https://static.parastorage.com/services/editor-elements/dist/media/sloppyframe.d6793e19.png	C:/Users/VIBHU/Desktop/ICT%20Cafe/wix/static.parastorage.com/services/editor-elements/dist/media/sloppyframe.d6793e19.png	(from https://vibhor9351.wixsite.com/website)
21:05:54	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Jul%202021%2015:35:51%20GMT	https://vibhor9351.wixsite.com/	C:/Users/VIBHU/Desktop/ICT%20Cafe/wix/vibhor9351.wixsite.com/index.html	(from https://vibhor9351.wixsite.com/website)
21:05:54	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Jul%202021%2015:35:51%20GMT	https://vibhor9351.wixsite.com/website/version/	C:/Users/VIBHU/Desktop/ICT%20Cafe/wix/vibhor9351.wixsite.com/website/version/index.html	(from https://vibhor9351.wixsite.com/website)
21:05:54	7051/7051	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Jul%202021%2015:35:51%20GMT	https://static.wixstatic.com/media/f7db07_7e73f53250dc4d048837c450f5889365~mv2.png/v1/fill/w_59,h_59,al_c,usm_0.66_1.00_0.01,blur_3/cafe%20logo.png	C:/Users/VIBHU/Desktop/ICT%20Cafe/wix/static.wixstatic.com/media/f7db07_7e73f53250dc4d048837c450f5889365_mv2.png/v1/fill/w_59,h_59,al_c,usm_0.66_1.00_0.01,blur_3/cafe%20logo.png	(from https://vibhor9351.wixsite.com/website)
21:05:55	435633/435633	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Jul%202021%2015:35:51%20GMT	https://vibhor9351.wixsite.com/website/menus	C:/Users/VIBHU/Desktop/ICT%20Cafe/wix/vibhor9351.wixsite.com/website/menus.html	(from https://vibhor9351.wixsite.com/website)
21:05:58	438842/438842	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Jul%202021%2015:35:54%20GMT	https://vibhor9351.wixsite.com/website/locations	C:/Users/VIBHU/Desktop/ICT%20Cafe/wix/vibhor9351.wixsite.com/website/locations.html	(from https://vibhor9351.wixsite.com/website)
21:05:58	470951/470951	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Jul%202021%2015:35:53%20GMT	https://vibhor9351.wixsite.com/website/contact	C:/Users/VIBHU/Desktop/ICT%20Cafe/wix/vibhor9351.wixsite.com/website/contact.html	(from https://vibhor9351.wixsite.com/website)
21:05:58	995153/995153	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Jul%202021%2015:35:52%20GMT	https://vibhor9351.wixsite.com/website/online-ordering	C:/Users/VIBHU/Desktop/ICT%20Cafe/wix/vibhor9351.wixsite.com/website/online-ordering.html	(from https://vibhor9351.wixsite.com/website)
21:05:58	435225/435225	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Jul%202021%2015:35:53%20GMT	https://vibhor9351.wixsite.com/website/instagram	C:/Users/VIBHU/Desktop/ICT%20Cafe/wix/vibhor9351.wixsite.com/website/instagram.html	(from https://vibhor9351.wixsite.com/website)
